Epoch 1/3
Iteration 17800, Loss: 0.6746
Iteration 17900, Loss: 0.6745
Iteration 18000, Loss: 0.6746
Iteration 18100, Loss: 0.6747
Iteration 18200, Loss: 0.6747
Iteration 18300, Loss: 0.6747
Iteration 18400, Loss: 0.6744
Iteration 18500, Loss: 0.6744
Iteration 18600, Loss: 0.6746
Iteration 18700, Loss: 0.6747
Iteration 18800, Loss: 0.6743
Iteration 18900, Loss: 0.6742
Iteration 19000, Loss: 0.6741
Iteration 19100, Loss: 0.6742
Iteration 19200, Loss: 0.6739
Iteration 19300, Loss: 0.6738
Iteration 19400, Loss: 0.6735
Iteration 19500, Loss: 0.6734
Iteration 19600, Loss: 0.6733
Iteration 19700, Loss: 0.6731
Iteration 19800, Loss: 0.6732
Iteration 19900, Loss: 0.6733
Iteration 20000, Loss: 0.6730
Iteration 20100, Loss: 0.6728
Iteration 20200, Loss: 0.6727
Iteration 20300, Loss: 0.6726
Iteration 20400, Loss: 0.6726
Iteration 20500, Loss: 0.6725
Iteration 20600, Loss: 0.6725
Iteration 20700, Loss: 0.6726
Iteration 20800, Loss: 0.6726
Iteration 20900, Loss: 0.6725
Iteration 21000, Loss: 0.6724
Iteration 21100, Loss: 0.6723
Iteration 21200, Loss: 0.6724
Iteration 21300, Loss: 0.6721
Iteration 21400, Loss: 0.6722
Iteration 21500, Loss: 0.6721
Iteration 21600, Loss: 0.6720
Iteration 21700, Loss: 0.6718
Iteration 21800, Loss: 0.6716
Iteration 21900, Loss: 0.6714
Iteration 22000, Loss: 0.6713
Iteration 22100, Loss: 0.6714
Iteration 22200, Loss: 0.6714
Iteration 22300, Loss: 0.6714
Iteration 22400, Loss: 0.6713
Iteration 22500, Loss: 0.6714
Iteration 22600, Loss: 0.6714
Iteration 22700, Loss: 0.6713
Iteration 22800, Loss: 0.6713
Iteration 22900, Loss: 0.6713
Iteration 23000, Loss: 0.6715
Iteration 23100, Loss: 0.6713
Iteration 23200, Loss: 0.6713
Iteration 23300, Loss: 0.6710
Iteration 23400, Loss: 0.6710
Iteration 23500, Loss: 0.6708
Iteration 23600, Loss: 0.6709
Iteration 23700, Loss: 0.6708
Iteration 23800, Loss: 0.6709
Iteration 23900, Loss: 0.6708
Iteration 24000, Loss: 0.6709
Iteration 24100, Loss: 0.6709
Iteration 24200, Loss: 0.6708
Iteration 24300, Loss: 0.6708
Iteration 24400, Loss: 0.6708
Iteration 24500, Loss: 0.6709
Iteration 24600, Loss: 0.6707
Iteration 24700, Loss: 0.6709
Iteration 24800, Loss: 0.6709
Iteration 24900, Loss: 0.6709
Iteration 25000, Loss: 0.6709
Iteration 25100, Loss: 0.6709
Iteration 25200, Loss: 0.6710
Iteration 25300, Loss: 0.6710
Iteration 25400, Loss: 0.6710
Iteration 25500, Loss: 0.6708
Iteration 25600, Loss: 0.6708
Iteration 25700, Loss: 0.6706
Iteration 25800, Loss: 0.6706
Iteration 25900, Loss: 0.6706
Iteration 26000, Loss: 0.6707
Iteration 26100, Loss: 0.6707
Iteration 26200, Loss: 0.6704
Iteration 26300, Loss: 0.6703
Iteration 26400, Loss: 0.6701
Iteration 26500, Loss: 0.6702
Iteration 26600, Loss: 0.6701
Iteration 26700, Loss: 0.6701
Iteration 26800, Loss: 0.6702
Iteration 26900, Loss: 0.6703
Iteration 27000, Loss: 0.6703
Iteration 27100, Loss: 0.6702
Iteration 27200, Loss: 0.6701
Iteration 27300, Loss: 0.6699
Iteration 27400, Loss: 0.6698
